Music Name,Recommended Song 1,Similarity 1,Recommended Song 2,Similarity 2
190,560,0.9971587405944419,181,0.996705744028866
1900,5067,0.9869058274148773,5334,0.9852747155781292
1901,817,0.997248202089782,2004,0.994992464045492
1902,4687,0.9945037790150276,4366,0.9937394077994584
1903,1892,0.9954745773947652,1952,0.9935359758241151
1904,3546,0.9972762824341989,4661,0.9943819062052291
1905,1777,0.9945340267092134,1823,0.9917816110101122
1906,1600,0.9963113524886871,2090,0.9946731998161903
1907,1890,0.9987634619509543,1649,0.9958733949754532
1908,1487,0.9935741877210642,3262,0.992045353316868
1909,5185,0.9962700186282238,1838,0.9962658719177786
191,2940,0.996169325806542,3661,0.995093414128483
1910,1629,0.9945547484432914,1876,0.9945530895852936
1911,1436,0.9951097637676105,1272,0.9948135265324202
1912,941,0.9939913493495536,1324,0.9915598890245578
1913,1635,0.9919313898601667,2071,0.9919130170132772
1914,900,0.9846003108394311,687,0.9835053463046487
1915,1744,0.9951942953468588,2745,0.9933311804113386
1916,1807,0.9963255498799057,1870,0.9943334785266837
1917,1752,0.9955603912338523,1909,0.9952519811533836
1918,3100,0.9965861364272649,3730,0.9964976972291925
1919,1627,0.9941999643856602,1594,0.9935635446135781
192,54,0.9951803591680699,887,0.9948455356384798
1920,1582,0.9926587071335543,1450,0.978309032164397
1921,1700,0.9904767517531448,1933,0.9896464580800546
1922,5886,0.9893943356615106,1534,0.9888028623285027
1923,1350,0.9930825846331817,4152,0.9929931594440137
1924,1596,0.987910147178302,1773,0.9869638780119354
1925,1467,0.9917988375521852,1664,0.9913984873304131
1926,1669,0.9975340244354652,869,0.9883897521724057
1927,1950,0.995555597857811,1819,0.9919027254782243
1928,1575,0.9882719744497833,1392,0.9862596897978845
1929,1826,0.9908696196437461,1891,0.9900116215037094
193,803,0.9974100425432953,939,0.9945277270489662
1930,2086,0.9947519649440879,1721,0.9945335444572916
1931,1660,0.9944862858606163,3254,0.9943143843297797
1932,1576,0.9919724038093988,1737,0.9910668284115418
1933,1159,0.9898754067394169,1921,0.98962921683406
1934,2058,0.995214945566575,1962,0.995196325166496
1935,930,0.9977886650509573,1951,0.9949743525596506
1936,1654,0.9984743086088482,2058,0.9943449768982955
1937,2050,0.9965755377974485,5266,0.993298503946699
1938,2052,0.9962775787844189,1192,0.9941993006756074
1939,1826,0.994037035659369,1727,0.993063774577464
194,5660,0.9955329287029644,3289,0.9949134952340553
1940,1681,0.997886005909953,1752,0.9965229488200069
1941,5193,0.9981149715898072,1621,0.9958214089075113
1942,796,0.9934591369195495,26,0.9928837278253759
1943,4668,0.9885254339279499,1468,0.9842171963681455
1944,2768,0.9974935176747846,1644,0.9944788597454599
1945,1075,0.9896738742613933,1766,0.9889691695625091
1946,1585,0.9967008927778975,2003,0.9965358109056491
1947,3099,0.9939713078644771,4228,0.99310226132029
1948,1478,0.9964317362856505,1584,0.996062361719797
1949,1703,0.9944053393951923,1823,0.9939557776246702
195,5513,0.9951328778504136,884,0.9949875462930562
1950,1927,0.995567667324039,1889,0.9954292302328488
1951,930,0.9955454725096535,1935,0.9949781051459005
1952,1180,0.9952778742570854,2027,0.9940121767912118
1953,1554,0.9976036297756583,1514,0.9968699839587809
1954,1670,0.9973532370652362,1787,0.9972798135205654
1955,1863,0.9958405442337293,1621,0.9955045837976054
1956,5491,0.9871252871563323,1192,0.9865722182010561
1957,5305,0.9971735887612057,2002,0.9964880165303445
1958,2961,0.9948177239156352,1725,0.994068071682785
1959,1684,0.9935416954159031,1195,0.9919364639056362
196,3129,0.9927938939053826,2795,0.9925476339739217
1960,3291,0.998057878454509,3871,0.9934833227447284
1961,1834,0.9968988283384819,3992,0.9936879989419063
1962,1876,0.9985448660776103,1629,0.9972564373389995
1963,1639,0.9924207632749157,2000,0.9911549051401394
1964,2027,0.9960916752037363,1694,0.9950961260339868
1965,1875,0.9951606334988151,1881,0.9915071317918727
1966,2022,0.9950509688897373,4454,0.9890300791276365
1967,1880,0.9962653460590954,1412,0.9957962958234746
1968,1971,0.9908772811075047,1547,0.9901936223303827
1969,2089,0.9955968799186385,2036,0.9946828052985218
197,3525,0.9888513368239373,1474,0.9880856837872858
1970,2023,0.9911088701709603,3090,0.9911041221772379
1971,1827,0.9968367225131226,1764,0.9951470377613265
1972,1709,0.9975222147905214,2992,0.997053500725772
1973,1817,0.9954357633913244,1340,0.9942798416010433
1974,2832,0.9877651847485034,4337,0.985796602600674
1975,1837,0.991052189303298,1647,0.9892738506921664
1976,1195,0.9944210038732809,1917,0.9930603301969902
1977,4277,0.9913222877265238,2020,0.991239842760646
1978,3612,0.9849860480041391,4624,0.9843874855114296
1979,1662,0.9949218666678085,1712,0.9945707795203705
198,3386,0.9868719368963224,3542,0.9863578534147575
1980,4706,0.9927771799219861,1982,0.991960234938963
1981,1293,0.9870117765582591,4204,0.9844833175823787
1982,1980,0.9919605587803989,4651,0.9896646452142195
1983,2091,0.9952302619951519,1253,0.9893221616362305
1984,2041,0.9948873135327461,1728,0.9944598909822877
1985,1569,0.9959904213454328,1618,0.9958777027484397
1986,4479,0.9834664759785241,4230,0.9823366126098247
1987,2773,0.9974262550298482,5539,0.9947176230747528
1988,1730,0.9852426628820866,1682,0.9849764151434072
1989,1749,0.9942501837949598,1892,0.9927425949530455
199,4314,0.9956294109512348,3210,0.9949130315847512
1990,772,0.9954586202651485,5461,0.9935602195253425
1991,3074,0.9929082057904504,1040,0.9916363554535664
1992,5397,0.9924514144129667,4047,0.9923326448596215
1993,681,0.9904000142150708,4034,0.984902042706806
1994,461,0.994329076166548,1481,0.9940897758112984
1995,1671,0.9964008066427514,4591,0.9949644099347714
1996,1988,0.980018799106579,1848,0.973008377534873
1997,3271,0.9934911432151438,4535,0.9929247225391199
1998,1661,0.994429034659352,4905,0.9920427586851199
1999,3181,0.9951718006525877,4067,0.9916359278706688
2,3365,0.9958967648998478,5681,0.9953273481875783
20,3129,0.9961095887622154,3767,0.9954816205618272
200,2940,0.9976772010142226,3801,0.9971016978962021
2000,1060,0.9986921946324299,1848,0.9972486418575712
2001,5370,0.9673030471498858,1385,0.9671386984600181
2002,5481,0.9973020321855601,1758,0.9965077772945866
2003,1585,0.9984301728149012,1946,0.9965193495201722
2004,2763,0.9971778773850523,2849,0.9966602751838849
2005,1724,0.9933994814727253,2020,0.992211218224676
2006,5327,0.9951387844270898,1805,0.9930809795103933
2007,1748,0.9897144991481032,3861,0.9873419938571236
2008,1651,0.99690519548116,3907,0.9956178957838057
2009,2011,0.9937087472003663,2002,0.9920428560244224
201,3718,0.9973689307777145,3827,0.9969274201299454
2010,1654,0.9964697866607795,1728,0.99413120489228
2011,2009,0.9937091385653768,2080,0.9926283613990518
2012,1766,0.9969302485598115,1880,0.9960369813038775
2013,3785,0.9919651066942715,219,0.9876416688975751
2014,4688,0.9900164742666042,5341,0.9865548358631527
2015,1890,0.9953524012749615,1709,0.9953074837935231
2016,1244,0.9919195946756689,67,0.9902414358204419
2017,2053,0.9953746478552454,4514,0.9949912997286897
2018,214,0.9945212383137799,4329,0.9916866733550973
2019,1668,0.9947821552023994,1907,0.9927024325733026
202,1241,0.9954019531677201,122,0.9953103573957649
2020,1122,0.9956105547865807,856,0.9922404028131067
2021,2053,0.9949453623564605,1997,0.9906873280753217
2022,1966,0.9950444164893436,4152,0.9887444224300528
2023,161,0.9929133066402526,213,0.9925223739210562
2024,2039,0.9983539402112238,2073,0.9959675600933435
2025,567,0.9966889058812821,3982,0.9962976035231226
