Music Name,Recommended Song 1,Similarity 1,Recommended Song 2,Similarity 2
3369,738,0.9957515728071443,5537,0.9930064736367261
337,1311,0.9969131296679757,945,0.9917062396163374
3370,319,0.9980720368814476,3337,0.9942461773405349
3371,3128,0.9956980947772239,3345,0.9954528951771898
3372,2957,0.9947529938269883,5840,0.993088649799247
3373,4608,0.9955585002735177,5907,0.9937399515959953
3374,3603,0.9944260058348422,4264,0.9942989618191125
3375,317,0.9984594283324825,3407,0.9956018267666588
3376,739,0.9987992921332249,1274,0.9973184721444697
3377,555,0.9919676208436667,882,0.9912645364975919
3378,4945,0.9926463005146853,3467,0.9882963292592316
3379,493,0.9880472173715015,3972,0.987329961170167
338,5878,0.9898114328673336,1255,0.9897092655844061
3380,421,0.9971565290537695,4165,0.9971481254657835
3381,4943,0.9960732320483091,5914,0.9953206576845431
3382,3559,0.9954253666244476,4757,0.995143006985135
3383,315,0.9924728498971799,5740,0.9914035705303437
3384,3494,0.9942953509301193,3304,0.9930259008622433
3385,539,0.9930975635536179,722,0.9918299127455286
3386,3533,0.9944071040205792,1201,0.9910187350314763
3387,3231,0.9948108353704017,68,0.9937564534649921
3388,3779,0.9965023741708271,895,0.995487717540009
3389,1296,0.9937240623691284,5309,0.992592690728263
339,3064,0.9949319951086202,5430,0.9943335850514644
3390,4275,0.9969183249922968,3950,0.9965622019218884
3391,4536,0.998111004466052,3610,0.9977117339533192
3392,244,0.9954151329988041,911,0.9951138244783707
3393,406,0.9923896034153243,40,0.9872595032899961
3394,4248,0.9942977319746336,854,0.9939152374902608
3395,208,0.9961730612520652,166,0.9955537360339621
3396,5398,0.9976909521281121,3471,0.9921864026955687
3397,5121,0.9943521421012065,3530,0.9936611584319717
3398,4080,0.9978398925441637,4935,0.9970821600287573
3399,3107,0.9918377702265164,5447,0.9917310537861075
34,5477,0.9946965137350451,4215,0.9927293945103352
340,4916,0.9942424461867625,3306,0.9932327987839862
3400,496,0.9968777891615207,3417,0.9967775936736547
3401,3454,0.9909177951844041,4526,0.9879011660007019
3402,3940,0.9960643863579756,5753,0.9944466474497471
3403,4416,0.9970224617480801,381,0.9949865774969688
3404,4140,0.9945378687973201,1439,0.9923956480007665
3405,4027,0.9961704425729082,4304,0.9960727322547016
3406,2945,0.9936193990074337,3370,0.9934883128613573
3407,3375,0.9953904848566019,317,0.9952824854393044
3408,3922,0.9950973843310917,4538,0.9949593812572677
3409,3347,0.9958622174840321,421,0.995224367840199
341,3869,0.9968429745189067,3972,0.9954361775966715
3410,3223,0.997382718097492,1215,0.9954908686301948
3411,3614,0.9976631118517937,4782,0.9966104107418934
3412,3324,0.9957560243545044,4777,0.9956808449108578
3413,3544,0.9943939101858027,3644,0.9906531700102189
3414,248,0.9946949330236368,5796,0.9901031418781685
3415,5663,0.994201717299681,1336,0.9937780125339707
3416,3366,0.9952899269920172,4772,0.9941078147524467
3417,4536,0.9969171672075055,3400,0.9967994073036411
3418,3245,0.9906964393614445,5353,0.9881949677767491
3419,3569,0.9952673145841355,4284,0.9868431955358663
342,3634,0.9984681019045497,3338,0.9978016085235932
3420,4109,0.9973253314050924,1502,0.9962255984522997
3421,3468,0.9945465471963508,5914,0.9945426134003571
3422,365,0.9935499584156068,3508,0.9930295267804806
3423,4789,0.998698336411262,3609,0.9927017493175491
3424,4216,0.9979391430179816,3950,0.9974946459704026
3425,5748,0.9930716390015333,462,0.989052058359898
3426,3579,0.9949482645165394,4027,0.9938162773323156
3427,5517,0.9910617482011935,5842,0.9905656182879939
3428,370,0.9944667322563873,3641,0.9943376013280971
3429,3491,0.9891153220875003,4302,0.9886436011218018
343,1532,0.9971757057022499,5698,0.9943774581840896
3430,3128,0.9962635024711975,3456,0.994967316049411
3431,10,0.9967779515738897,1438,0.9945609815621931
3432,463,0.9975904474071048,1054,0.9952858268723136
3433,5727,0.9932423423247314,3481,0.9907745867349265
3434,100,0.9968508580244414,1309,0.9944464358192879
3435,4513,0.9932141325466396,4514,0.990168047372654
3436,3520,0.9925640186529512,128,0.9924087900345202
3437,3468,0.9959219872129227,4238,0.9955128729818101
3438,4912,0.992534724844559,451,0.9885380313496336
3439,3853,0.9958482220714441,3504,0.9956746984474029
344,5024,0.9905161307949848,4268,0.989596510021724
3440,3985,0.9929584374640558,165,0.9921654107503854
3441,3614,0.9977434049856279,3603,0.9977121786849349
3442,285,0.9937811961663552,3018,0.9922220740473084
3443,3444,0.9950830080220111,3294,0.9944847072292368
3444,4290,0.9952101299741807,3443,0.9950828761181272
3445,4724,0.9958616024204812,48,0.9954681763382088
3446,332,0.9886848421591953,3336,0.9853280492397058
3447,4288,0.9956929470853579,409,0.9954425452361852
3448,3627,0.9975959725806677,4917,0.9962839688388018
3449,4785,0.9902513895599808,1620,0.989741658024453
345,4753,0.9945684084477503,3888,0.9943257341537275
3450,3555,0.9956799169601749,5022,0.9923104128679862
3451,3586,0.9924678244379571,3510,0.9924078226403847
3452,3628,0.9965365461460273,2931,0.996285212747916
3453,322,0.9910708778053302,4232,0.9901567479239176
3454,4045,0.9941318726073396,377,0.9933645202463673
3455,3229,0.994990783789539,4548,0.9936983869601527
3456,4762,0.9950354927346072,3430,0.9949547519057248
3457,4791,0.9935249904256425,3970,0.993149790408117
3458,3681,0.9953719387222382,1113,0.9947062495041087
3459,940,0.9974679165962576,33,0.9962252247472169
346,3136,0.9966374169502442,342,0.9948241187340995
3460,5145,0.983808073002669,5829,0.9824403440451945
3461,5032,0.994010708809572,4259,0.9929100536612253
3462,3889,0.9892670017966833,3503,0.9886652553176893
3463,4500,0.9947057839967345,1210,0.9945170134011597
3464,3385,0.9821982844863236,730,0.9810574923263048
3465,1347,0.9985806240774238,858,0.9908167789159357
3466,4120,0.9892055141715455,5768,0.9877092396625664
3467,4891,0.9951771850561161,3316,0.9933986575088889
3468,871,0.9978389939577661,5903,0.9963355966430042
3469,4351,0.9959772226201776,4217,0.9956701067737701
347,4264,0.9949960860097546,4764,0.9947974899060394
3470,3235,0.9937979555229166,284,0.992284369515122
3471,3530,0.9977012195481781,446,0.9976151131154203
3472,3547,0.9985705927992381,4123,0.9949446813806938
3473,4776,0.9951960987721238,3304,0.9935597020988634
3474,5488,0.9917011480768984,5577,0.9876166900569686
3475,1274,0.9926688589927646,3570,0.9905838798967973
3476,5814,0.9964861731671514,3424,0.9955392377939982
3477,3330,0.9938284424067897,302,0.9934264756958818
3478,2943,0.9923895345467635,4189,0.9887879742564195
3479,402,0.995349122657177,1097,0.9943582489440527
348,574,0.9948510601210169,855,0.9930128780237973
3480,4656,0.9941785234518962,724,0.9859853851588788
3481,258,0.9924826948357754,5727,0.9921829808117869
3482,458,0.9966088925474555,1241,0.9943651116537041
3483,720,0.9943575845280449,3310,0.9899874121064538
3484,3648,0.9983099002949253,1143,0.9942066433156016
3485,320,0.9959487394513066,3621,0.9928481714289397
3486,5933,0.9948387039026836,3686,0.9941312297323059
3487,3424,0.9968639219643737,4779,0.9968235741187982
3488,5093,0.9947872342092392,591,0.9917345469572024
3489,2909,0.9943474265891107,3102,0.9914788531561186
349,5003,0.992413315021925,459,0.9904635743120762
3490,5924,0.9969003278942519,4103,0.9951024933263515
3491,4302,0.9961149398457775,118,0.9945606576544166
3492,4774,0.9941732912563022,3491,0.9939971814735861
3493,96,0.9978939129570188,3929,0.9975521679340331
3494,3304,0.9944394216714013,3384,0.9942084131190643
3495,854,0.9954683814926519,559,0.9945226162153079
3496,4806,0.9970359737223238,4283,0.9956060837533217
3497,4116,0.9922686470965122,1156,0.9882830819017323
3498,4321,0.9988160480716222,4787,0.9963331996121654
3499,4145,0.9962178384188694,3903,0.9951665269101738
35,75,0.994907297996671,1805,0.9923122823104125
350,672,0.9945404316367796,3184,0.9932952350194324
3500,5665,0.9954987050817643,3164,0.9905736184656478
3501,4264,0.9949936507796586,580,0.994770339577012
3502,5720,0.9975078361670261,5831,0.9936645179804686
3503,722,0.9933652145486447,3206,0.991664462252629
3504,3439,0.9956745543821637,3853,0.9942908238435587
3505,158,0.9896310578270483,3578,0.9869883027144223
3506,4552,0.9967521177426542,4175,0.9952999576090712
3507,552,0.9962579757451685,1210,0.995839759460548
3508,3422,0.9929802242818216,5822,0.9913928192150189
3509,3556,0.9857063041561342,3473,0.9805523573525945
351,3447,0.994410509529989,277,0.9938507558664056
3510,2063,0.9942509011401194,1129,0.9941886522582741
3511,4801,0.9923148831468857,3441,0.9922025905595383
3512,381,0.9958395028816394,5723,0.995791702915586
3513,1068,0.9970056816107181,4927,0.9960710002709737
3514,4917,0.9961074044462769,391,0.9953630980039248
3515,5002,0.9963995417056686,4927,0.9948974948886427
3516,125,0.9980184335290208,1147,0.9949578398122487
3517,166,0.997725488520871,3918,0.9968058020380983
3518,3368,0.9942324688090298,5121,0.9925401575111916
3519,279,0.9974741466145204,726,0.9971646215957721
352,286,0.9925684392364889,4693,0.9906630725376598
3520,4999,0.9938102187369895,135,0.9935601573230862
3521,3120,0.9932287425049309,4539,0.9907412423389874
3522,4263,0.9951600122646128,3583,0.9944100397908776
3523,5706,0.9954036850847807,244,0.9945749193050503
3524,241,0.9970716725653029,3018,0.9928398521978227
3525,440,0.9942588555377114,1610,0.9933443437646962
3526,1262,0.9948695014735682,4173,0.9938590897473486
3527,4245,0.9963806151716261,3337,0.9944543520072342
3528,5073,0.9908537268015969,1144,0.9854673303473755
3529,1521,0.9916493922952869,808,0.9904817760724479
353,4266,0.9941725290516767,5732,0.9936105235497918
3530,3471,0.9976919033921845,446,0.9954506626733088
3531,5029,0.9949102013036301,4286,0.9941035137986088
3532,1561,0.9958710248122026,4400,0.9943029905853341
3533,1201,0.9953285872461324,187,0.9944051213710873
3534,4428,0.9973845967856455,3815,0.997051411495545
3535,4802,0.9982305436560223,4303,0.9928616840503939
3536,5020,0.9962998904866015,205,0.9946969994924585
3537,4886,0.995561985357915,5550,0.9888374096886678
3538,3471,0.9967390799125408,4081,0.9961809922719336
3539,4781,0.9916917005205647,246,0.9912863140771847
354,4216,0.991603008191798,4266,0.9908507469650092
3540,3204,0.993629051548711,3309,0.9928410353137946
3541,4149,0.9949199160243707,3574,0.9914875882963265
3542,3647,0.993078879672428,361,0.9881669713926874
3543,3899,0.9976884589746151,3909,0.9972602003404737
3544,3644,0.9955346156338064,3413,0.9943721935197534
3545,4914,0.9903455679838211,2865,0.9893457158287816
3546,1904,0.9972859416392589,1893,0.9950530384050833
3547,3472,0.9985750639753087,2903,0.994314662402165
3548,5430,0.9928743159189992,5770,0.9924944935700251
3549,4097,0.9950421368154344,846,0.9934270865317624
355,4594,0.9977624897419983,4126,0.9954975637217469
3550,4775,0.9987635702137049,4801,0.9934271565566511
3551,3584,0.9914044261589463,4270,0.9896375057325227
3552,4995,0.9968077582504025,5736,0.9959794745388267
3553,347,0.994566687064768,4751,0.9932835558232742
3554,1131,0.9953650791307737,5763,0.9950641573652632
3555,5904,0.9964731549851458,3450,0.995653784121282
3556,4797,0.9920883135851782,3561,0.991633984688463
3557,3929,0.9957537758466452,4160,0.9957307866726519
3558,362,0.9913215401898232,4669,0.989796006695718
3559,4757,0.9985186757811975,4796,0.9979238822780192
356,4253,0.9935346630957244,921,0.9912589599754741
3560,242,0.9948400675918341,3585,0.9946258495297907
3561,3639,0.9975690894622895,4873,0.9935110419857239
3562,5005,0.997810584837388,370,0.9957240623715586
3563,4260,0.9960099253044261,5835,0.9916164947058713
3564,5591,0.9921468712667152,4348,0.9903587852058865
3565,3965,0.9938303554694173,4590,0.9927511058755674
3566,5723,0.9983954048786728,5027,0.9958345060361031
3567,391,0.9958886010601146,5824,0.994539274427852
3568,1449,0.9946072741015749,11,0.9933683888855684
3569,3419,0.9952746676253486,4284,0.991742963096539
357,1433,0.9945471748213274,2994,0.9942271750200561
3570,1150,0.9962471310611267,249,0.9934306645406112
3571,1147,0.9956759490183097,361,0.9926372408912658
3572,409,0.9942653884385463,3312,0.9930424941813174
3573,4303,0.9969632717794236,4782,0.9962525105860561
3574,4248,0.9946700201238344,4320,0.9936994930266847
3575,5692,0.9953088899856065,5784,0.9942392467173753
3576,4901,0.9940279564214335,4896,0.9938551324324314
3577,1630,0.9913444655752878,5394,0.990982824060956
3578,5069,0.9926365082968742,482,0.9912426218373919
3579,3426,0.9949698077721463,3473,0.9914831771066028
358,1154,0.9951077237994782,3850,0.9937364653772627
3580,5794,0.9922588815231769,4960,0.9899991429217597
3581,3428,0.9942491757557969,3530,0.9938817184603167
3582,3586,0.9926655887055096,5169,0.9895385516452883
3583,3610,0.9978800535394473,3391,0.9973772370324805
3584,4396,0.9979862584165758,4758,0.9973258385962671
3585,370,0.9950660668432028,3560,0.9946247897203793
3586,3582,0.9926658622059281,3451,0.9924355397275153
3587,893,0.9942734333102639,5489,0.993576866763135
3588,4928,0.9965404027021918,254,0.9889841837703218
3589,1503,0.9972864374164262,979,0.9959985737654107
359,884,0.9954392856749829,3729,0.9949459411959696
3590,3226,0.9962119124386045,4544,0.9947576187926644
3591,1492,0.9924882099256827,3171,0.9915728186823151
3592,5363,0.9931448980321307,3878,0.9893490915234229
3593,4317,0.99477212804331,5844,0.9937853621034263
3594,4319,0.9976375305377337,3338,0.9968705466124017
3595,4941,0.9886193352452132,839,0.9869159237215792
3596,3948,0.9973462276324153,1384,0.995295883136467
3597,3326,0.9961938472751738,5895,0.9920829844727317
3598,5353,0.9953571807596178,475,0.9951761291732459
3599,205,0.9966945649246569,4930,0.9953826850862922
36,1844,0.994541075902571,5050,0.9943833812494877
360,4552,0.9934724975493714,1087,0.9924813286620104
3600,3574,0.9917337221558328,3376,0.9916001826871382
3601,5774,0.9952635985503976,3469,0.9948307596899915
3602,3305,0.9985238906652423,3692,0.9963554380392388
3603,3441,0.9977147291722106,160,0.9966720083668529
3604,2966,0.99534580901052,3184,0.9949410404060993
3605,1296,0.9903897413855774,3949,0.9893801105568807
3606,2767,0.9941063024544856,348,0.9895210983434612
3607,1486,0.9938058099747613,3925,0.9923157050364624
3608,3330,0.9954760222205578,319,0.9952992052709944
3609,779,0.9934170326760764,4789,0.9933399023322941
361,3571,0.9926390242731653,4284,0.992454671430709
3610,3583,0.9978805638244517,3391,0.9977290521686542
3611,497,0.9980111745209225,5674,0.995884215327142
3612,4624,0.991680555048993,5553,0.9901145023355427
3613,5741,0.9972208150038923,5811,0.9954623598388923
3614,4768,0.9987719187928871,3441,0.9977521342118505
3615,1429,0.9932131455278779,1474,0.9915069749864568
3616,5026,0.9957793258026434,5036,0.995248369887963
3617,295,0.9936919003023471,231,0.9934377763271011
3618,911,0.995276152862885,5302,0.9947399010193705
3619,463,0.9952375082638699,4420,0.9948522960968117
362,3922,0.9935671875663068,4304,0.9923900039483147
3620,4298,0.995549231896258,5896,0.9944773675638958
3621,285,0.9965673027505808,3368,0.9965015955608343
3622,2910,0.9985037805867838,1241,0.9967187316461701
3623,3628,0.9966248705276465,3610,0.9959021418592356
3624,926,0.9963558331240663,4009,0.9910548937077713
3625,5729,0.9958711408022699,3206,0.992123018784835
3626,366,0.9919230124155417,288,0.9862414547191415
3627,3448,0.9975818789313636,4304,0.9959733751982538
3628,4799,0.9970719638478034,3610,0.9966498390007094
3629,4983,0.99387295041423,4888,0.9935690053867073
363,2931,0.9897617202473353,4520,0.989675049615693
3630,499,0.9957355564192307,5881,0.9944500816975446
